id,name,slug,department_code,insee_code,postal_code,lat,lng,pop
134,Saint-Germain-les-Paroisses,saint-germain-les-paroisses,01,01358,01300,45.7667,5.61667,400
135,Miribel,miribel-01,01,01249,01700,45.8245,4.95306,9000
136,Lancrans,lancrans,01,01205,01200,46.1333,5.83333,1000
137,Échenevex,echenevex,01,01153,01170,46.3167,6.03333,1500
138,Saint-Jean-sur-Veyle,saint-jean-sur-veyle,01,01365,01290,46.25,4.91667,1100
139,Billiat,billiat,01,01044,01200,46.0667,5.78333,400
140,L'Abergement-de-Varey,abergement-de-varey,01,01002,01640,46.0,5.41667,200
141,Villeneuve,villeneuve-01,01,01446,01480,46.0212,4.83667,1400
142,Villars-les-Dombes,villars-les-dombes,01,01443,01330,46.0,5.01667,4300
143,Thézillieu,thezillieu,01,01417,01110,45.8833,5.6,300
144,Saint-Étienne-sur-Reyssouze,saint-etienne-sur-reyssouze,01,01352,01190,46.4,5.0,500
145,Souclin,souclin,01,01411,01150,45.8667,5.41667,300
146,Saint-Just,saint-just-01,01,01369,01250,46.1903,5.28,900
147,Civrieux,civrieux,01,01105,01390,45.9167,4.88333,1300
148,Argis,argis,01,01017,01230,45.9333,5.48333,400
149,Talissieu,talissieu,01,01415,01510,45.8667,5.71667,500
150,Birieux,birieux,01,01045,01330,45.95,5.03333,200
151,Saint-Julien-sur-Veyle,saint-julien-sur-veyle,01,01368,01540,46.2,4.95,700
152,Thoiry,thoiry-01,01,01419,01710,46.2364,5.97973,4900
153,Laiz,laiz,01,01203,01290,46.25,4.88333,1100
154,Cressin-Rochefort,cressin-rochefort,01,01133,01350,45.7667,5.76667,400
155,Saint-Champ,saint-champ,01,01341,01300,45.7833,5.73333,100
156,Saint-Georges-sur-Renon,saint-georges-sur-renon,01,01356,01400,46.1,5.03333,200
157,Lantenay,lantenay-01,01,01206,01430,46.05,5.53333,300
158,Vernoux,vernoux,01,01433,01560,46.4833,5.11667,200
159,Cormaranche-en-Bugey,cormaranche-en-bugey,01,01122,01110,45.95,5.6,900
160,Sainte-Euphémie,sainte-euphemie,01,01353,01600,45.9667,4.78333,1400
161,Beaupont,beaupont,01,01029,01270,46.4,5.26667,600
162,Brens,brens-01,01,01061,01300,45.7187,5.69473,1000
163,Ramasse,ramasse,01,01317,01250,46.2,5.35,300
164,Divonne-les-Bains,divonne-les-bains,01,01143,01220,46.3667,6.13333,7800
165,Léaz,leaz,01,01209,01200,46.1,5.88333,500
